"dialogue_type","chara_id","other_chara_id","dialogue_id","weight","level"
0,1,1,106,1,1
0,1,1,107,2,2
0,1,1,108,3,3
0,1,1,109,4,4
0,1,1,110,5,5
0,2,2,111,1,1
0,2,2,112,2,2
0,2,2,113,3,3
0,2,2,114,4,4
0,2,2,115,5,5
0,3,3,116,1,1
0,3,3,117,2,2
0,3,3,118,3,3
0,3,3,119,4,4
0,3,3,120,5,5
0,4,4,121,1,1
0,4,4,122,2,2
0,4,4,123,3,3
0,4,4,124,4,4
0,4,4,125,5,5
0,5,5,126,1,1
0,5,5,127,2,2
0,5,5,128,3,3
0,5,5,129,4,4
0,5,5,130,5,5
0,6,6,131,1,1
0,6,6,132,2,2
0,6,6,133,3,3
0,6,6,134,4,4
0,6,6,135,5,5
0,7,7,136,1,1
0,7,7,137,2,2
0,7,7,138,3,3
0,7,7,139,4,4
0,7,7,140,5,5
0,8,8,141,1,1
0,8,8,142,2,2
0,8,8,143,3,3
0,8,8,144,4,4
0,8,8,145,5,5
0,9,9,146,1,1
0,9,9,147,2,2
0,9,9,148,3,3
0,9,9,149,4,4
0,9,9,150,5,5
0,10,10,151,1,1
0,10,10,152,2,2
0,10,10,153,3,3
0,10,10,154,4,4
0,10,10,155,5,5
0,11,11,156,1,1
0,11,11,157,2,2
0,11,11,158,3,3
0,11,11,159,4,4
0,11,11,160,5,5
0,12,12,161,1,1
0,12,12,162,2,2
0,12,12,163,3,3
0,12,12,164,4,4
0,12,12,165,5,5
0,13,13,166,1,1
0,13,13,167,2,2
0,13,13,168,3,3
0,13,13,169,4,4
0,13,13,170,5,5
0,14,14,171,1,1
0,14,14,172,2,2
0,14,14,173,3,3
0,14,14,174,4,4
0,14,14,175,5,5
0,15,15,176,1,1
0,15,15,177,2,2
0,15,15,178,3,3
0,15,15,179,4,4
0,15,15,180,5,5
0,16,16,181,1,1
0,16,16,182,2,2
0,16,16,183,3,3
0,16,16,184,4,4
0,16,16,185,5,5
0,17,17,186,1,1
0,17,17,187,2,2
0,17,17,188,3,3
0,17,17,189,4,4
0,17,17,190,5,5
0,18,18,191,1,1
0,18,18,192,2,2
0,18,18,193,3,3
0,18,18,194,4,4
0,18,18,195,5,5
0,19,19,196,1,1
0,19,19,197,2,2
0,19,19,198,3,3
0,19,19,199,4,4
0,19,19,200,5,5
0,20,20,201,1,1
0,20,20,202,2,2
0,20,20,203,3,3
0,20,20,204,4,4
0,20,20,205,5,5
0,21,21,206,1,1
0,21,21,207,2,2
0,21,21,208,3,3
0,21,21,209,4,4
0,21,21,210,5,5
0,22,22,211,1,1
0,22,22,212,2,2
0,22,22,213,3,3
0,22,22,214,4,4
0,22,22,215,5,5
0,23,23,216,1,1
0,23,23,217,2,2
0,23,23,218,3,3
0,23,23,219,4,4
0,23,23,220,5,5
0,24,24,221,1,1
0,24,24,222,2,2
0,24,24,223,3,3
0,24,24,224,4,4
0,24,24,225,5,5
0,25,25,226,1,1
0,25,25,227,2,2
0,25,25,228,3,3
0,25,25,229,4,4
0,25,25,230,5,5
0,26,26,231,1,1
0,26,26,232,2,2
0,26,26,233,3,3
0,26,26,234,4,4
0,26,26,235,5,5
0,27,27,236,1,1
0,27,27,237,2,2
0,27,27,238,3,3
0,27,27,239,4,4
0,27,27,240,5,5
0,28,28,241,1,1
0,28,28,242,2,2
0,28,28,243,3,3
0,28,28,244,4,4
0,28,28,245,5,5
0,29,29,246,1,1
0,29,29,247,2,2
0,29,29,248,3,3
0,29,29,249,4,4
0,29,29,250,5,5
0,30,30,251,1,1
0,30,30,252,2,2
0,30,30,253,3,3
0,30,30,254,4,4
0,30,30,255,5,5
0,31,31,256,1,1
0,31,31,257,2,2
0,31,31,258,3,3
0,31,31,259,4,4
0,31,31,260,5,5
0,32,32,261,1,1
0,32,32,262,2,2
