"id","content"
1,"放馬過來啊，你想死的話"
2,"上了哦，做好覺悟了嗎？"
3,"想要打敗我嗎?艾依查庫"
4,"也就是說，死亡並不是終點…"
5,"死亡也不錯，可以得到安寧"
6,"我是不會輸的。因為這已經是定數"
7,"你有看過嗎？那個黑暗世界"
8,"永恆之戰。這正是我期望的"
9,"為劍而生的東西也將為劍而死。僅此而已"
10,"小子，先上嚕"
11,"審判之時已到。痛苦只是一瞬間"
12,"讓我流「血」的代價可是很高的唷"
13,"艾伯，來比一場吧"
14,"與你的恩怨，就在此做個了結吧"
15,"你的味道…似曾相識…"
16,"…"
17,"傑多，真沒想到會在這裡遇到你"
18,"只有你，我會讓你見到終點的"
19,"古魯瓦爾多，我真是為你感到可憐"
20,"小姐，抱歉了，不能讓妳妨礙到我"
21,"雖然有想問你的事，但那也是在這場勝負之後"
22,"在我的光芒中腐朽吧"
23,"比起現世，我更喜歡這個地方"
24,"似乎還欠你一筆對吧,那就讓我好好的來償還"
25,"我們還會回去的，對吧，艾伯"
26,"別這麼激動，你遲早也會明白的"
27,"所做的事一定會有所報應，不論正邪"
28,"我是為了使命而戰。你呢？"
29,"艾伯李斯特，這裡可不是世界的盡頭"
30,"就讓你看看比死還要更深的黑暗吧"
31,"那麼，就希望會是場有用的實驗了"
32,"讓我見識一下你的力量吧"
33,"那麼，就讓我好好享受一下吧"
34,"好久不見啦。有沒有變強啊？"
35,"來吧，和我一起玩吧"
36,"哎呀，好久不見。…看我打爆你！"
37,"真是礙眼的女人！給我消失吧！"
38,"若是敢妨礙我的話，絕對不會放過你的！"
39,"找你好久了…姊姊！"
40,"是史普拉多嗎？…真的是你嗎？"
41,"冰冷又甜美的死亡氣味。你也喜歡的吧？"
42,"膽敢反抗我的話，就讓你回到冰冷的土裡去喔"
43,"帶來死亡之女…就由我來解決妳吧"
44,"我可是很忙的呢。沒時間跟雜碎鬼混啊"
45,"能與你戰鬥還真是令人高興呢"
46,"狀況確認。開始排除敵人"
47,"手裡會來什麼牌靠的是運氣，但是選擇如何出牌是靠個人意識"
48,"需要幫你做個遊戲教學嗎？"
49,"運氣也是有其走向。還請努力掌握"
50,"遊戲裡也許有分幸運或不幸，但是最終收支都將會平衡"
51,"即便有無限的選擇，但你能選擇的未來永遠只有一個"
52,"你這骯髒的野蠻人，從我面前消失吧"
53,"外表看起來是美麗的人偶，但那臟腑又是如何呢"
54,"就讓我給予你符合背叛者的慘死方式吧"
55,"怎麼了，又是老樣子的發作嗎？"
56,"吾監視整個世界，絕不放過任何人"
57,"較量啊，也沒什麼不好的"
58,"蕾格列芙大人，雖然有點失禮但請與我較量一下"
59,"受混沌之魔纏身的愚者啊，給我明白你自己的身分"
60,"這個火焰將會燒盡一切。所有的一切"
61,"能是場不相上下的對戰就好了"
62,"不用打招呼了,直接打過來吧！"
63,"就讓我看看你的實力吧"
64,"虛無支配了一切。你就成為那個祭品吧！"
65,"我想讓你也看到我所親眼目睹過的那些事"
66,"只要一切結束了之後，就能有新的開始。我不會讓你妨礙我的"
67,"我沒空理會你的胡鬧"
68,"就讓我來將這迷途之魂引向淨土吧"
69,"你是為了什麼而戰？世界？還是自己？"
70,"抱歉，現在沒有那個空閒為過去不義之事道歉"
71,"對我而言這個世界的秘密就在於“存在”之中"
72,"博士，沒想到還能再遇見你…"
73,"我是不會原諒你的"
74,"這情況，看起來不是很好"
75,"就讓你見識一下神獸的力量吧"
76,"我的神獸是絕對不會輸的！"
77,"讓開，史普拉多，我並不想和你戰鬥"
78,"抱歉，現在請不要防礙我！"
79,"這正是與機械兵測試力量的好機會呢"
80,"畢竟，能一決生死的是覺悟"
81,"既然被你看到我的樣子，就不能讓你活下去"
82,"不祥的薔薇。就在這裡做個了斷吧"
83,"我可沒空理會小鬼"
84,"我的本意，妳這傢伙豈會懂？"
85,"就讓我見識一下，你那過去曾被譽為王國第一的劍術奧義吧"
86,"阿修羅，我不會同情你的"
87,"只有你，是不能原諒的……"
88,"我有必須守護的東西！"
89,"隊長，還請您讓開吧"
90,"沒有想到還會再見面呢，佛羅倫斯"
91,"阿修羅，你竟敢算計我啊"
92,"真是難纏的女人，就讓我親手了結妳吧！"
93,"哎呀呀，這下事情麻煩了"
94,"不好意思，你能不能找別人？"
95,"當星辰正位之時，我等的正確性也將被証明"
96,"正因為是璀燦的帝國才能支配一切"
97,"你跟我等其實並無大差。只是……"
98,"還真是個無可救藥的傢伙。就在此做個了結吧"
99,"恐懼是必須要克服的"
100,"我等早已超越了慈悲同情"
101,"看來今晚的秀應該會很有趣"
102,"正因為花的生命短暫，所以才顯得美麗"
103,"那麼，這場戰鬥會是有意義的嗎？"
104,"這也是命運的安排。讓我們享受這遊戲吧"
105,"花香令人心曠神怡，希望你也能享受到"
106,"為劍而生的東西也將為劍而死。僅此而已"
107,"從不間斷的鬥爭逐漸改變了這個世界"
108,"不管有著怎樣的想法，一旦成了敗者，那些都將化成泡影"
109,"即使戰鬥沒有任何意義，還是可以求勝"
110,"最後能夠站著的，永遠都是勝者"
111,"抱歉請你去死吧，因為你實在太礙事了"
112,"放馬過來啊，你想死的話"
113,"不管發生什麼事，我都不能在這裡被幹掉"
114,"我可不想死的不明不白。我要動真格的了喔"
115,"小看我的力量的話，可是要付出慘痛代價的喔"
116,"我的血渴求著鮮血……"
117,"死亡也不錯，可以得到安寧"
118,"生命到底要讓我煩躁到什麼地步……"
119,"也就是說，死亡並不是終點嗎…"
120,"死亡才是曙光，是這個黑暗的世界所放出最後的……"
121,"想用那種招數打贏我嗎？"
122,"現在就讓你看看我的劍技吧！"
123,"堂堂正正的一決勝負吧！"
124,"我已經習慣麻煩事了。來吧，放馬過來"
125,"永恆之戰。這正是我期望的"
126,"上了哦，做好覺悟了嗎？"
127,"這下又變成麻煩的事了"
128,"不用廢話了，也只能上了對吧"
129,"我不能在這裡結束，我要上囉"
130,"我還有想要做的事，還請你別恨我"
131,"你有看過嗎？那個黑暗世界"
132,"這是幻覺還是現實……算了，怎樣都好"
133,"我的願望全部都會實現……你當心了"
134,"不是我的錯，我只是……"
135,"真的是，希望不要再來管我了……"
136,"我是不會輸的。因為這已經是定數"
137,"命運是不能忤逆的，除了我以外"
138,"我已經贏你好幾次了，你還不知道嗎？"
139,"珍惜生命的話，最好不要違抗我比較好喔"
140,"我的「力量」，你真的想看看？"
141,"小子，先上嚕"
142,"在將死之際，你會後悔的"
143,"想活下去的話，就打倒我吧"
144,"你好好想想，你有勝算嗎？"
145,"不論是好是壞，結果過去都還是會緊追不捨"
146,
147,
148,
149,
150,
151,"審判之時已到。痛苦只是一瞬間"
152,"在我的光芒中腐朽吧"
153,"至少讓你毫無痛苦的結束吧"
154,"不管要犧牲什麼，我都要守護"
155,"戰鬥能找到希望嗎？或是……"
156,"讓我流「血」的代價可是很高的唷"
157,"來吧羅布！吃飯的時間囉！"
