"lot_kind","article_kind","article_id","order","rarity","visible","image_url","description","num"
1,0,54,517,5,0,,"54 绿之宝石袋",1
1,0,55,516,5,0,,"55 青之宝石袋",1
1,0,10,515,5,0,,"10 复制券",1
1,0,3,514,5,0,,"3 魔女秘药 *3",3
1,0,8,513,5,0,,"8 跳越星 *3",3
1,0,21,512,5,0,,"21 墨菲斯之门",1
1,0,27,511,5,0,,"27 人偶的日记本",1
1,0,37,510,5,0,,"37 神秘衣柜",1
1,4,303,509,5,0,,"303 玛尔瑟斯 L3",1
1,4,323,508,5,0,,"323 鲁卡 L3",1
1,4,333,507,5,0,,"333 史塔夏 L3",1
1,4,343,506,5,0,,"343 沃兰德 L3",1
1,4,353,505,5,0,,"353 C.C. L3",1
1,4,363,504,5,0,,"363 柯布 L3",1
1,4,373,503,5,0,,"373 伊芙琳 L3",1
1,4,393,502,5,0,,"393 凯伦贝克 L3",1
1,4,403,501,5,0,,"403 音音梦 L3",1
1,4,413,500,5,0,,"413 康拉德 L3",1
1,4,513,411,4,0,,"513 林奈乌斯 L3",1
1,4,523,410,4,0,,"523 娜汀 L3",1
1,4,533,409,4,0,,"533 迪诺 L3",1
1,4,563,408,4,0,,"563 诺伊库洛姆 L3",1
1,4,573,407,4,0,,"573 出叶  L3",1
1,4,583,406,4,0,,"583 希拉莉  L3",1
1,4,593,405,4,0,,"593 克洛维斯 L3",1
1,4,603,404,4,0,,"603 艾莉丝泰莉雅 L3",1
1,4,613,403,4,0,,"613 雨果 L3",1
1,4,623,402,4,0,,"623 艾莉亚娜 L3",1
1,4,633,401,4,0,,"633 格雷高尔 L3",1
1,4,643,400,4,0,,"643 蕾塔 L3",1
1,1,45,304,3,0,,"45 紫晶礼服",1
1,1,46,303,3,0,,"46 蓝礼服",1
1,1,47,302,3,0,,"47 红宝石礼服",1
1,2,6,301,3,0,,"6 剑6卡",1
1,2,14,300,3,0,,"14 枪6卡",1
1,4,653,201,2,0,,"653 伊普西隆 L3",1
1,4,2231,200,2,0,,"2231 里斯 RE",1
1,4,576,102,1,0,,"576 出叶  R1",1
1,4,176,101,1,0,,"176 贝琳达 R1",1
1,4,377,100,1,0,,"377 伊芙琳 R2",1
0,1,749,507,5,0,,"749 洁米的手提公仔",1
0,1,460,506,5,0,,"460 梅莉的手提公仔",1
0,1,754,505,5,0,,"754 瑟法斯的手提公仔",1
0,1,491,504,5,0,,"491 碧姬媞的趴头娃娃",1
0,1,505,503,5,0,,"505 玛尔瑟斯的趴头娃娃",1
0,0,3,502,5,0,,"3 魔女秘药",1
0,0,24,501,5,0,,"24 妖魔的指南针",1
0,0,8,500,5,0,,"8 跳越星",1
0,1,48,415,4,0,,"48 发带",1
0,1,53,414,4,0,,"53 海蓝缎带",1
0,1,54,413,4,0,,"54 黑曜缎带",1
0,0,7,412,4,0,,"7 白色石楠5 *2",2
